Instância;Custo Médio;Tempo Médio(ms);Tempo Médio Solução Inicial(ms);MIPGap
50-0,8-12;1,1;13,0740;10,1509;0,0000
50-0,5-12;2,0;12,1101;10,1134;0,0000
50-0,2-12;3,8;12,4051;10,1431;0,0000
50-0,8-25;2,0;12,7479;10,2291;0,0000
50-0,5-25;3,0;23,5916;10,2209;0,0000
50-0,2-25;5,9;25,9326;10,2584;0,0000
50-0,8-50;3,0;33,1385;20,5063;0,0000
50-0,5-50;4,0;115,7146;20,5579;0,0000
50-0,2-50;8,6;68,4454;20,4548;0,0000
50-0,8-62;3,0;23,3043;20,6365;0,0000
50-0,5-62;4,7;210,0928;20,7020;0,0000
50-0,2-62;9,3;72,7884;20,6476;0,0000
100-0,8-25;1,8;14,2527;10,7992;0,0000
100-0,5-25;2,0;14,1067;10,5084;0,0000
100-0,2-25;4,5;370,6950;10,4179;0,0000
100-0,8-50;2,0;35,9705;30,9272;0,0000
100-0,5-50;3,0;357,2736;30,7931;0,0000
100-0,2-50;6,7;173,2748;31,0844;0,0000
100-0,8-100;3,0;75,6469;51,2055;0,0000
100-0,5-100;4,7;1450,9231;51,1948;0,0000
100-0,2-100;9,7;560,9182;51,1542;0,0000
100-0,8-125;4,0;2803,0718;101,8860;0,0000
100-0,5-125;5,2;1721,1152;101,4748;0,0000
100-0,2-125;11,0;1209,8131;101,7477;0,0000
200-0,8-50;2,0;45,1669;31,8345;0,0000
200-0,5-50;2,2;232,2481;32,4907;0,0000
200-0,2-50;5,2;491,1241;32,1796;0,0000
200-0,8-100;2,6;970,9542;53,8448;0,0000
200-0,5-100;3,4;2710,2659;55,2303;0,0000
200-0,2-100;7,9;14213,2500;53,4619;0,0000
200-0,8-200;4,0;29504,3594;103,5757;0,0000
200-0,5-200;5,4;63066,1133;107,8011;0,0000
200-0,2-200;11,9;513016,8125;108,2985;0,0000
200-0,8-250;4,0;21114,8965;208,8053;0,0000
200-0,5-250;6,3;159455,2188;208,5308;0,0000
200-0,2-250;5,4;287412,6562;84,0028;0,0000
